model_name,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,train_time
Linear Regression (Baseline),0.12447718255526416,0.009171131080088086,0.08503291060888565,0.004156264511237436,0.9026078769883101,0.008287018855919948,1.3442678451538086
Ridge Regression (L2),0.1147447263126982,0.006410676956015921,0.07945283942462913,0.0024815053430080176,0.9172500199754309,0.003990830959913616,0.21660470962524414
Random Forest,0.13322044137314304,0.005444740122528018,0.09252753190518741,0.0017449366496767602,0.8882273234451675,0.006520522872448235,5.3526530265808105
Gradient Boosting,0.11817128679047448,0.008104710418760049,0.08110018455790294,0.003468201423591853,0.9120679948301662,0.008542201029712555,113.68272852897644
